Time (sec),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Trial
3.2,56.80989,57.70424,55.07666,60.75819,60.06973,61.48975,58.32157,59.41066,61.85501,57.9966,68.56457,60.43196,3
3.3,56.80989,57.70424,55.07563,60.87068,60.06914,61.48975,58.32157,59.41131,61.85631,57.99817,68.56457,60.43196,3
3.4,56.82889,57.78479,55.07563,60.87068,60.06914,61.49011,58.31959,59.41131,61.85631,57.99817,68.56605,60.43142,3
3.5,56.82889,57.78479,55.0735,61.00693,60.06985,61.49011,58.31959,59.41183,61.85558,57.99801,68.56605,60.43142,3
3.6,56.83716,57.79702,55.0735,61.00693,60.06985,61.49024,58.31817,59.41183,61.84814,57.99801,68.53841,60.43183,3
3.7,56.8437,57.79702,55.06145,61.03376,60.06873,61.49024,58.31817,59.41194,61.84814,57.99778,68.49413,60.43183,3
3.8,56.8437,57.80495,55.03725,61.03376,60.06873,61.49024,58.3153,59.41194,61.78,57.99778,68.49413,60.43045,3
3.9,56.84599,57.80495,55.03725,61.03056,60.06873,61.49024,58.3153,59.41136,61.78,57.99603,68.41247,60.4303,3
4,56.84599,57.80406,55.02594,61.03056,60.06873,61.48944,58.31336,59.41136,61.76803,57.99671,68.41247,60.4303,3
4.1,56.84343,57.79177,55.02594,61.03238,60.06862,61.48944,58.31336,59.41119,61.76803,57.99671,68.40295,60.43093,3
4.2,56.84343,57.79177,55.01971,61.01243,60.06862,61.48932,58.31353,59.41119,61.76783,57.99722,68.39554,60.43093,3
4.3,56.84049,57.78524,55.01971,61.01243,60.0692,61.48932,58.31353,59.41142,61.7657,57.99722,68.39554,60.43009,3
4.4,56.84059,57.78524,55.00721,60.99402,60.0692,61.48993,58.31291,59.41142,61.7657,57.99648,68.38633,60.43009,3
4.5,56.84059,57.78468,55.0028,60.99402,60.06939,61.48993,58.31291,59.4127,61.76498,57.99648,68.38633,60.4307,3
4.6,56.83967,57.78228,55.0028,60.98755,60.06939,61.48907,58.31144,59.4127,61.76498,57.99603,68.39029,60.43087,3
