Time (sec),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Trial
1,56.60659,57.82171,55.16479,60.5487,60.05288,61.48208,58.22448,59.31915,61.76951,58.033,68.25661,60.43924,3
1.1,56.60659,57.82171,55.16588,60.54971,60.04938,61.48208,58.22448,59.31653,61.76951,58.033,68.25661,60.4402,3
1.2,56.6086,57.82148,55.16593,60.54971,60.04938,61.48038,58.21957,59.31653,61.77203,58.0335,68.26197,60.43924,3
1.3,56.61017,57.82148,55.16593,60.54937,60.04868,61.48038,58.21957,59.31486,61.77203,58.0321,68.26197,60.43924,3
1.4,56.61017,57.82283,55.16645,60.55146,60.04868,61.47975,58.21788,59.31486,61.77203,58.0321,68.26553,60.43917,3
1.5,56.61141,57.82674,55.16645,60.55146,60.04838,61.47975,58.21788,59.31427,61.77154,58.03171,68.27128,60.43917,3
1.6,56.61141,57.82674,55.16807,60.55635,60.04838,61.47981,58.21647,59.31427,61.77291,58.03171,68.27128,60.43853,3
1.7,56.61304,57.82853,55.16807,60.55635,60.04902,61.47981,58.21647,59.31445,61.77291,58.03271,68.27164,60.43853,3
1.8,56.61379,57.82853,55.16994,60.56198,60.04902,61.47999,58.215,59.31445,61.77445,58.03198,68.27164,60.43882,3
1.9,56.61379,57.83608,55.17354,60.56198,60.04915,61.47999,58.215,59.3152,61.77445,58.03198,68.2719,60.44012,3
2,56.61666,57.84424,55.17354,60.57163,60.04915,61.47975,58.21392,59.3152,61.77492,58.03149,68.2719,60.44012,3
2.1,56.61666,57.84424,55.17687,60.58423,60.0482,61.47975,58.21392,59.31527,61.77492,58.03149,68.27024,60.43905,3
2.2,56.61872,57.85291,55.17687,60.58423,60.0482,61.47891,58.21324,59.31527,61.77506,58.03271,68.27261,60.43905,3
2.3,56.62083,57.85291,55.17792,60.58793,60.0482,61.47891,58.21324,59.31508,61.77581,58.03271,68.27261,60.43806,3
2.4,56.62083,57.85728,55.17739,60.58793,60.04843,61.48024,58.21324,59.31508,61.77581,58.03249,68.27483,60.43871,3
2.5,56.62035,57.85728,55.17739,60.5853,60.04843,61.48024,58.21172,59.31432,61.7781,58.03328,68.27483,60.43871,3
